identity,name,parentId,type,parentNodeType,weight,parentRelation
SPRING:8,List,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:9,Name,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:10,Recall,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:11,Record,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:12,Manage,SPRING:2,term,Knowledge,2,counterIndicatorOf
SPRING:13,Repeat,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:14,State,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:15,Tell,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:16,Define,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:17,Duplicate,SPRING:2,term,Knowledge,5,indicatorOf
SPRING:18,Label,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:19,reply,SPRING:2,term,Knowledge,5,indicatorOf
SPRING:20,Match,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:21,Memorize,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:22,fundamental,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:23,Order,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:24,Outline,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:25,Recognize,SPRING:2,term,Knowledge,3,counterIndicatorOf
SPRING:26,Count,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:27,Describe,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:28,Enumerate,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:29,Find,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:30,Quote,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:31,Read,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:32,select,SPRING:2,term,Knowledge,5,counterIndicatorOf
SPRING:33,Recite,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:34,Reproduce,SPRING:2,term,Knowledge,7,indicatorOf
SPRING:35,Sequence,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:36,State,SPRING:2,term,Knowledge,9,indicatorOf
SPRING:37,View,SPRING:2,term,Knowledge,8,indicatorOf
SPRING:38,Write,SPRING:2,term,Knowledge,5,counterIndicatorOf
SPRING:39,Locate,SPRING:2,term,Knowledge,6,indicatorOf
SPRING:40,Identify,SPRING:2,term,Knowledge,3,counterIndicatorOf
SPRING:41,Tell,SPRING:2,term,Knowledge,5,counterIndicatorOf
SPRING:42,Compare,SPRING:3,term,Comprehension,8,indicatorOf
