identity,name,parentId,type,class,parentRelation,context
SPRING:1,Spring Framework,SPRING:0,concept,concept,subconcept of,Spring framework
SPRING:2,Spring Core,SPRING:1,concept,concept,subconcept of,Spring framework
SPRING:3,Spring MVC,SPRING:1,concept,concept,subconcept of,Spring framework
SPRING:4,Spring Data JPA,SPRING:1,concept,concept,subconcept of,Spring framework
SPRING:5,Spring AOP,SPRING:1,concept,concept,subconcept of,Spring framework
SPRING:6,Spring Security,SPRING:1,concept,concept,subconcept of,Spring framework
SPRING:7,Spring Cloud,SPRING:1,concept,concept,subconcept of,Spring framework
SPRING:8,Spring Reactive,SPRING:1,concept,concept,subconcept of,Spring framework
SPRING:9,Beans,SPRING:2,concept,concept,subconcept of,Spring Core
SPRING:10,IOC Container,SPRING:2,concept,concept,subconcept of,Spring Core
SPRING:11,Annotations,SPRING:2,concept,concept,subconcept of,Spring Core
SPRING:12,Domain Model,SPRING:3,concept,concept,subconcept of,Spring MVC
SPRING:13,View,SPRING:3,concept,concept,subconcept of,Spring MVC
SPRING:14,RESTful service,SPRING:3,concept,concept,subconcept of,Spring MVC
SPRING:15,Lifecycle,SPRING:9,concept,concept,subconcept of,Beans
SPRING:16,Scopes,SPRING:9,concept,concept,subconcept of,Beans
SPRING:17,Autowiring,SPRING:9,concept,concept,subconcept of,Beans
SPRING:18,Declaration,SPRING:9,concept,concept,subconcept of,Beans
SPRING:19,Customization,SPRING:9,concept,concept,subconcept of,Beans
SPRING:20,Bean Definition Inheritance,SPRING:9,concept,concept,subconcept of,Beans
SPRING:21,Dependancy Injection,SPRING:10,concept,concept,subconcept of,IOC Container
SPRING:22,Bean Factory,SPRING:10,concept,concept,subconcept of,IOC Container
SPRING:23,Application Context,SPRING:10,concept,concept,subconcept of,IOC Container
SPRING:24,Custom Annotation,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:25,@Primary,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:26,@Qualifier,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:27,@Bean,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:28,@Component,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:29,@Autowired,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:30,@ComponentScan,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:31,@Required,SPRING:11,concept,concept,subconcept of,Annotations
